,date,time,confirmed,released,deceased,code,avg_temp,min_temp,max_temp,precipitation,max_wind_speed,most_wind_direction,avg_relative_humidity,province
8,2020-01-20,16,0,0,0,30000,3.7,1.1,7.5,0.0,5.2,250.0,38.8,5
24,2020-01-21,16,0,0,0,30000,2.8,-1.9,7.8,0.0,3.8,230.0,42.0,5
40,2020-01-22,16,0,0,0,30000,7.1,4.7,9.8,0.0,6.3,230.0,31.9,5
56,2020-01-23,16,0,0,0,30000,7.2,3.4,12.5,0.0,3.9,230.0,54.5,5
72,2020-01-24,16,0,0,0,30000,4.4,2.5,7.2,0.0,3.6,230.0,76.4,5
88,2020-01-25,16,0,0,0,30000,5.7,2.1,10.1,0.0,3.9,230.0,82.3,5
104,2020-01-26,16,0,0,0,30000,5.2,3.5,6.4,0.0,2.8,70.0,80.6,5
120,2020-01-27,16,0,0,0,30000,6.6,5.8,7.3,0.0,3.9,70.0,69.6,5
136,2020-01-28,16,0,0,0,30000,6.7,5.4,8.2,0.0,4.8,290.0,73.3,5
152,2020-01-29,16,0,0,0,30000,5.6,4.6,7.9,0.0,4.6,290.0,73.9,5
168,2020-01-30,16,0,0,0,30000,2.6,1.0,5.9,0.0,4.2,320.0,86.8,5
184,2020-01-31,16,0,0,0,30000,3.2,0.1,8.1,0.0,3.4,230.0,79.3,5
200,2020-02-01,16,0,0,0,30000,4.8,0.4,9.1,0.0,5.4,230.0,52.3,5
216,2020-02-02,16,0,0,0,30000,5.0,1.4,9.8,0.0,7.0,230.0,45.1,5
232,2020-02-03,16,0,0,0,30000,3.2,0.7,6.8,0.0,6.7,230.0,35.3,5
248,2020-02-04,16,0,0,0,30000,2.7,-1.8,6.9,0.0,5.4,230.0,37.6,5
264,2020-02-05,16,0,0,0,30000,-2.1,-5.3,3.8,0.0,5.3,230.0,31.9,5
280,2020-02-06,16,0,0,0,30000,-2.6,-7.1,2.1,0.0,4.7,230.0,58.4,5
296,2020-02-07,16,0,0,0,30000,2.3,-3.7,7.0,0.0,7.5,230.0,34.8,5
312,2020-02-08,16,0,0,0,30000,1.9,-0.3,5.6,0.0,6.3,230.0,59.6,5
328,2020-02-09,16,0,0,0,30000,2.6,-2.3,7.5,0.0,6.0,230.0,46.8,5
344,2020-02-10,16,0,0,0,30000,4.5,0.6,9.4,0.0,6.4,230.0,48.9,5
360,2020-02-11,16,0,0,0,30000,8.1,-0.2,16.6,0.0,3.6,230.0,43.6,5
376,2020-02-12,16,0,0,0,30000,9.2,5.7,11.1,0.0,3.3,200.0,65.6,5
392,2020-02-13,16,0,0,0,30000,11.5,6.8,16.7,0.0,5.9,230.0,60.4,5
408,2020-02-14,16,0,0,0,30000,10.9,7.4,15.7,0.0,4.5,250.0,59.3,5
424,2020-02-15,16,0,0,0,30000,10.6,6.5,14.8,0.0,5.8,110.0,75.9,5
440,2020-02-16,16,0,0,0,30000,3.1,-0.9,6.5,0.0,10.0,230.0,66.0,5
456,2020-02-17,16,0,0,0,30000,-2.1,-4.4,0.4,0.0,8.0,230.0,46.9,5
472,2020-02-18,16,0,0,0,30000,0.6,-5.2,7.3,0.0,6.3,230.0,39.3,5
488,2020-02-19,16,0,0,0,30000,4.7,0.7,9.4,0.0,6.7,230.0,41.6,5
504,2020-02-20,16,0,0,0,30000,6.6,3.1,12.0,0.0,3.8,230.0,46.5,5
520,2020-02-21,16,0,0,0,30000,8.8,4.0,15.7,0.0,3.8,230.0,42.8,5
536,2020-02-22,16,6,0,0,30000,6.2,2.7,8.8,0.0,8.1,250.0,48.9,5
552,2020-02-23,16,6,0,0,30000,6.0,0.9,12.3,0.0,6.8,230.0,32.8,5
568,2020-02-24,16,6,0,0,30000,11.3,6.6,15.8,0.0,6.7,230.0,27.5,5
584,2020-02-25,16,6,0,0,30000,6.5,3.1,11.9,0.0,4.3,230.0,82.5,5
600,2020-02-26,16,6,0,0,30000,4.0,1.6,5.9,0.0,3.1,230.0,93.6,5
616,2020-02-27,16,6,0,0,30000,3.9,1.1,8.7,0.0,3.2,230.0,81.1,5
632,2020-02-28,16,7,0,0,30000,6.6,-0.1,10.0,0.0,4.3,230.0,66.4,5
648,2020-02-29,16,7,0,0,30000,7.4,4.2,10.0,0.0,5.0,230.0,67.4,5
664,2020-03-01,16,15,0,0,30000,8.0,2.4,13.4,0.0,5.1,110.0,72.4,5
680,2020-03-02,0,19,0,0,30000,5.9,3.1,8.8,0.0,7.1,230.0,61.8,5
696,2020-03-03,0,20,0,0,30000,6.8,1.2,11.1,0.0,5.8,110.0,71.3,5
712,2020-03-04,0,21,0,0,30000,5.5,1.7,9.4,0.0,8.2,250.0,39.1,5
728,2020-03-05,0,23,3,0,30000,3.4,-0.3,8.3,0.0,4.3,230.0,47.6,5
744,2020-03-06,0,25,3,0,30000,6.1,0.9,11.4,0.0,4.7,230.0,36.1,5
760,2020-03-07,0,26,3,1,30000,6.9,2.0,12.5,0.0,3.2,230.0,59.9,5
776,2020-03-08,0,27,3,1,30000,8.1,2.4,14.3,0.0,3.5,230.0,66.3,5
792,2020-03-09,0,28,3,1,30000,10.1,2.8,16.2,0.0,3.1,70.0,70.4,5
807,2020-03-10,0,28,6,1,30000,8.1,6.0,10.6,0.0,3.6,320.0,93.0,5
823,2020-03-11,0,29,6,1,30000,6.6,3.1,10.8,0.0,5.7,230.0,39.9,5
839,2020-03-12,0,29,6,1,30000,11.3,5.4,16.4,0.0,5.5,230.0,26.3,5
