,date,time,confirmed,released,deceased,code,avg_temp,min_temp,max_temp,precipitation,max_wind_speed,most_wind_direction,avg_relative_humidity,province,target
1,2020-01-21,16,0,0,0,16000,3.2,-1.6,8.6,0.0,4.2,340.0,51.0,15,0
2,2020-01-22,16,0,0,0,16000,5.6,2.0,8.3,0.0,3.3,340.0,79.5,15,0
3,2020-01-23,16,0,0,0,16000,7.6,5.8,8.6,0.0,3.9,320.0,97.4,15,0
4,2020-01-24,16,0,0,0,16000,8.0,4.1,12.9,0.0,3.4,340.0,78.4,15,0
5,2020-01-25,16,0,0,0,16000,8.2,6.8,9.9,0.0,3.6,340.0,71.1,15,0
6,2020-01-26,16,0,0,0,16000,8.2,5.4,10.6,0.0,4.8,360.0,78.0,15,0
7,2020-01-27,16,0,0,0,16000,7.4,5.6,9.7,0.0,6.8,50.0,90.4,15,0
8,2020-01-28,16,0,0,0,16000,7.5,6.3,8.9,0.0,4.9,340.0,82.4,15,0
9,2020-01-29,16,0,0,0,16000,7.0,3.5,11.0,0.0,4.2,340.0,68.4,15,0
10,2020-01-30,16,0,0,0,16000,5.6,3.4,8.2,0.0,4.4,340.0,67.5,15,0
11,2020-01-31,16,0,0,0,16000,4.7,1.4,8.7,0.0,3.6,340.0,62.9,15,0
12,2020-02-01,16,0,0,0,16000,4.1,0.2,8.6,0.0,4.7,340.0,60.1,15,0
13,2020-02-02,16,0,0,0,16000,5.3,-1.2,11.6,0.0,4.1,340.0,55.4,15,0
14,2020-02-03,16,0,0,0,16000,4.1,1.2,8.2,0.0,4.5,320.0,41.9,15,0
15,2020-02-04,16,0,0,0,16000,3.0,-1.9,9.0,0.0,4.4,320.0,34.8,15,0
16,2020-02-05,16,0,0,0,16000,0.0,-4.0,3.0,0.0,4.9,320.0,29.0,15,0
17,2020-02-06,16,0,0,0,16000,-0.7,-6.8,5.3,0.0,4.7,340.0,52.4,15,0
18,2020-02-07,16,0,0,0,16000,3.6,-1.0,9.7,0.0,5.1,340.0,55.8,15,0
19,2020-02-08,16,0,0,0,16000,3.3,0.4,7.6,0.0,4.9,340.0,44.5,15,0
20,2020-02-09,16,0,0,0,16000,3.3,-1.6,9.4,0.0,4.0,320.0,43.6,15,0
21,2020-02-10,16,0,0,0,16000,6.1,1.5,11.9,0.0,4.3,320.0,52.6,15,0
22,2020-02-11,16,0,0,0,16000,8.0,0.4,13.7,0.0,3.9,200.0,70.3,15,0
23,2020-02-12,16,0,0,0,16000,10.6,7.9,13.2,0.0,4.3,140.0,93.9,15,0
24,2020-02-13,16,0,0,0,16000,12.0,8.5,17.2,0.0,3.2,340.0,74.4,15,0
25,2020-02-14,16,0,0,0,16000,11.1,6.4,17.8,0.0,3.4,340.0,68.4,15,0
26,2020-02-15,16,0,0,0,16000,11.9,7.6,15.2,0.0,3.8,70.0,83.3,15,0
27,2020-02-16,16,0,0,0,16000,6.5,0.3,12.6,0.0,4.9,320.0,70.6,15,0
28,2020-02-17,16,0,0,0,16000,-0.3,-3.5,3.0,0.0,5.6,290.0,48.6,15,0
29,2020-02-18,16,0,0,0,16000,0.4,-5.2,6.7,0.0,4.9,320.0,38.4,15,0
30,2020-02-19,16,0,0,0,16000,5.2,-1.3,11.5,0.0,4.9,340.0,43.3,15,0
31,2020-02-20,16,0,0,0,16000,7.4,3.4,13.4,0.0,3.8,340.0,50.9,15,0
32,2020-02-21,16,0,0,0,16000,9.6,2.3,15.5,0.0,4.9,140.0,65.9,15,0
33,2020-02-22,16,1,0,0,16000,9.6,4.0,14.0,0.0,5.3,250.0,43.1,15,1
34,2020-02-23,16,0,0,0,16000,5.6,0.5,12.5,0.0,4.8,340.0,38.5,15,0
35,2020-02-24,16,1,0,0,16000,10.8,2.1,19.0,0.0,4.2,200.0,31.9,15,1
36,2020-02-25,16,1,0,0,16000,7.9,7.3,11.5,0.0,4.0,340.0,96.4,15,1
37,2020-02-26,16,1,0,0,16000,8.5,6.5,10.7,0.0,4.1,340.0,85.0,15,1
38,2020-02-27,16,7,0,0,16000,5.5,2.3,8.0,0.0,4.1,340.0,68.0,15,1
39,2020-02-28,16,3,0,0,16000,4.7,1.5,8.4,0.0,3.3,320.0,89.8,15,1
40,2020-02-29,16,3,0,0,16000,7.5,1.8,12.1,0.0,3.9,340.0,83.9,15,1
41,2020-03-01,16,3,0,0,16000,9.4,5.2,12.5,0.0,4.0,90.0,77.0,15,1
42,2020-03-02,0,0,0,0,16000,7.3,5.0,12.4,0.0,5.2,320.0,57.6,15,0
43,2020-03-03,0,0,0,0,16000,7.1,3.0,11.7,0.0,3.8,90.0,74.6,15,0
44,2020-03-04,0,3,0,0,16000,6.6,1.1,12.6,0.0,4.4,320.0,47.8,15,1
45,2020-03-05,0,0,0,0,16000,3.7,-1.5,10.4,0.0,5.5,320.0,47.3,15,0
46,2020-03-06,0,0,1,0,16000,6.8,-0.4,14.3,0.0,4.3,320.0,48.5,15,0
47,2020-03-07,0,0,0,0,16000,7.3,2.8,12.5,0.0,2.9,340.0,72.6,15,0
48,2020-03-08,0,1,0,0,16000,8.7,4.2,14.7,0.0,5.3,320.0,76.3,15,1
49,2020-03-09,0,0,0,0,16000,9.3,3.8,13.8,0.0,2.9,340.0,89.6,15,0
50,2020-03-10,0,0,0,0,16000,9.9,7.7,11.1,0.0,4.9,320.0,87.3,15,0
51,2020-03-11,0,1,1,0,16000,6.6,2.9,11.4,0.0,4.7,290.0,36.6,15,1
