,date,time,confirmed,released,deceased,code,avg_temp,min_temp,max_temp,precipitation,max_wind_speed,most_wind_direction,avg_relative_humidity,province
1,2020-01-21,16,0,0,0,15000,0.5,-5.3,7.5,0.0,2.5,250.0,45.3,4
2,2020-01-22,16,0,0,0,15000,2.4,-0.2,3.6,0.0,1.7,270.0,69.5,4
3,2020-01-23,16,0,0,0,15000,6.1,2.7,13.0,0.0,3.3,250.0,62.5,4
4,2020-01-24,16,0,0,0,15000,4.4,-0.7,11.3,0.0,2.5,250.0,65.6,4
5,2020-01-25,16,0,0,0,15000,5.2,0.5,10.5,0.0,1.5,250.0,75.6,4
6,2020-01-26,16,0,0,0,15000,6.5,1.0,11.5,0.0,7.5,20.0,71.1,4
7,2020-01-27,16,0,0,0,15000,6.0,3.2,8.2,0.0,6.3,360.0,76.8,4
8,2020-01-28,16,0,0,0,15000,6.3,2.8,10.5,0.0,2.3,290.0,78.6,4
9,2020-01-29,16,0,0,0,15000,6.7,4.2,10.0,0.0,2.1,270.0,64.0,4
10,2020-01-30,16,0,0,0,15000,6.1,3.2,10.6,0.0,2.4,270.0,64.1,4
11,2020-01-31,16,0,0,0,15000,3.7,0.1,7.5,0.0,2.3,200.0,72.3,4
12,2020-02-01,16,0,0,0,15000,2.1,-2.5,7.3,0.0,2.5,250.0,79.0,4
13,2020-02-02,16,0,0,0,15000,1.8,-2.3,7.6,0.0,2.4,160.0,71.5,4
14,2020-02-03,16,0,0,0,15000,1.5,-3.6,5.9,0.0,3.6,270.0,58.0,4
15,2020-02-04,16,0,0,0,15000,0.4,-5.8,7.2,0.0,2.9,160.0,61.9,4
16,2020-02-05,16,0,0,0,15000,-4.6,-8.2,0.8,0.0,4.1,270.0,47.8,4
17,2020-02-06,16,0,0,0,15000,-5.0,-10.5,0.8,0.0,2.4,270.0,45.9,4
18,2020-02-07,16,0,0,0,15000,-1.2,-7.6,4.8,0.0,3.4,270.0,54.5,4
19,2020-02-08,16,0,0,0,15000,1.6,-2.1,6.5,0.0,4.7,250.0,55.6,4
20,2020-02-09,16,0,0,0,15000,0.5,-5.4,7.2,0.0,3.6,160.0,57.9,4
21,2020-02-10,16,0,0,0,15000,5.1,-0.2,12.0,0.0,2.6,270.0,53.6,4
22,2020-02-11,16,0,0,0,15000,6.6,-2.1,16.0,0.0,3.1,180.0,47.5,4
23,2020-02-12,16,0,0,0,15000,7.7,5.3,9.8,0.0,3.5,270.0,91.3,4
24,2020-02-13,16,0,0,0,15000,7.4,3.7,9.8,0.0,2.7,160.0,91.0,4
25,2020-02-14,16,0,0,0,15000,7.5,3.5,14.4,0.0,2.1,340.0,83.6,4
26,2020-02-15,16,0,0,0,15000,9.9,3.2,16.8,0.0,4.5,20.0,78.8,4
27,2020-02-16,16,0,0,0,15000,0.8,-1.9,8.6,0.0,5.0,230.0,84.0,4
28,2020-02-17,16,0,0,0,15000,-3.2,-5.4,0.0,0.0,5.1,230.0,73.0,4
29,2020-02-18,16,0,0,0,15000,-1.6,-7.2,5.0,0.0,3.9,270.0,63.6,4
30,2020-02-19,16,0,0,0,15000,2.1,-4.0,9.2,0.0,3.3,230.0,66.9,4
31,2020-02-20,16,0,0,0,15000,5.3,-1.2,13.0,0.0,2.3,250.0,67.5,4
32,2020-02-21,16,0,0,0,15000,7.3,0.2,14.9,0.0,1.9,70.0,71.0,4
33,2020-02-22,16,2,0,0,15000,6.3,1.6,10.4,0.0,5.9,230.0,59.1,4
34,2020-02-23,16,1,0,0,15000,3.7,-1.9,9.8,0.0,4.2,140.0,52.3,4
35,2020-02-24,16,0,0,0,15000,7.4,-2.3,15.9,0.0,4.0,70.0,53.8,4
36,2020-02-25,16,0,0,0,15000,7.0,6.2,9.1,0.0,4.6,320.0,93.1,4
37,2020-02-26,16,2,0,0,15000,8.0,4.2,14.7,0.0,4.2,270.0,76.1,4
38,2020-02-27,16,4,0,0,15000,6.9,3.4,12.5,0.0,3.2,50.0,66.0,4
39,2020-02-28,16,4,0,0,15000,5.1,3.7,6.7,0.0,2.5,50.0,86.5,4
40,2020-02-29,16,0,0,0,15000,7.4,3.8,12.9,0.0,1.9,180.0,82.0,4
41,2020-03-01,16,0,0,0,15000,6.3,2.6,11.8,0.0,4.3,140.0,81.8,4
42,2020-03-02,0,1,0,0,15000,5.3,2.2,10.6,0.0,3.7,270.0,55.8,4
43,2020-03-03,0,0,0,0,15000,7.2,0.1,15.0,0.0,3.6,140.0,64.5,4
44,2020-03-04,0,1,0,0,15000,4.2,0.2,8.8,0.0,6.4,250.0,55.4,4
45,2020-03-05,0,1,0,0,15000,3.0,-1.9,9.3,0.0,3.7,250.0,51.3,4
46,2020-03-06,0,2,0,0,15000,4.5,-3.6,12.3,0.0,2.6,250.0,48.8,4
47,2020-03-07,0,0,0,0,15000,6.0,2.5,10.6,0.0,2.2,20.0,59.0,4
48,2020-03-08,0,0,1,0,15000,8.7,-0.2,18.6,0.0,4.6,250.0,60.9,4
49,2020-03-09,0,0,0,0,15000,10.0,3.0,16.1,0.0,2.7,20.0,68.4,4
50,2020-03-10,0,0,0,0,15000,6.8,3.3,9.2,0.0,3.7,250.0,86.3,4
51,2020-03-11,0,0,1,0,15000,4.8,0.7,10.2,0.0,5.8,250.0,47.4,4
52,2020-03-12,0,2,0,0,15000,7.0,-1.6,16.2,0.0,3.9,140.0,48.0,4
53,2020-03-13,0,2,2,0,15000,6.6,0.9,12.4,0.0,4.8,270.0,48.6,4
