,date,time,confirmed,released,deceased,code,avg_temp,min_temp,max_temp,precipitation,max_wind_speed,most_wind_direction,avg_relative_humidity,province
11,2020-01-20,16,0,0,0,50000,3.5,-0.3,8.0,0.0,6.6,320.0,61.1,12
27,2020-01-21,16,0,0,0,50000,1.5,-4.3,7.8,0.0,2.9,320.0,47.9,12
43,2020-01-22,16,0,0,0,50000,3.5,0.9,4.8,0.0,2.1,340.0,74.6,12
59,2020-01-23,16,0,0,0,50000,6.3,3.4,12.4,0.0,3.0,320.0,72.0,12
75,2020-01-24,16,0,0,0,50000,4.9,0.5,10.6,0.0,2.4,230.0,68.6,12
91,2020-01-25,16,0,0,0,50000,4.9,1.0,8.8,0.0,1.9,110.0,74.3,12
107,2020-01-26,16,0,0,0,50000,7.1,1.4,11.9,0.0,4.3,90.0,67.4,12
123,2020-01-27,16,0,0,0,50000,6.1,3.8,9.7,0.0,4.6,360.0,78.8,12
139,2020-01-28,16,0,0,0,50000,6.8,3.2,11.1,0.0,2.8,340.0,76.4,12
155,2020-01-29,16,0,0,0,50000,6.7,4.9,10.4,0.0,3.7,230.0,79.0,12
171,2020-01-30,16,0,0,0,50000,5.1,2.2,9.4,0.0,4.3,270.0,76.6,12
187,2020-01-31,16,1,0,0,50000,4.2,1.8,8.8,0.0,4.8,270.0,68.3,12
203,2020-02-01,16,1,0,0,50000,3.6,-1.3,8.7,0.0,3.8,140.0,72.5,12
219,2020-02-02,16,1,0,0,50000,2.5,-1.1,7.4,0.0,3.3,270.0,68.6,12
235,2020-02-03,16,1,0,0,50000,1.5,-1.6,6.8,0.0,5.2,340.0,63.3,12
251,2020-02-04,16,1,0,0,50000,0.7,-4.8,6.4,0.0,2.9,110.0,57.4,12
267,2020-02-05,16,1,0,0,50000,-3.7,-6.9,1.0,0.0,4.5,320.0,50.3,12
283,2020-02-06,16,1,0,0,50000,-4.1,-9.2,0.5,0.0,2.8,340.0,45.0,12
299,2020-02-07,16,1,0,0,50000,-0.3,-6.2,4.1,0.0,3.3,290.0,53.5,12
315,2020-02-08,16,1,0,0,50000,2.0,-1.0,6.7,0.0,5.8,290.0,55.9,12
331,2020-02-09,16,1,0,0,50000,0.3,-4.4,5.5,0.0,4.5,140.0,58.6,12
347,2020-02-10,16,1,0,0,50000,5.0,-1.5,11.8,0.0,3.0,140.0,53.6,12
363,2020-02-11,16,1,0,0,50000,8.4,0.9,15.4,0.0,2.4,140.0,44.4,12
379,2020-02-12,16,1,0,0,50000,9.5,7.3,12.3,0.0,4.5,230.0,87.1,12
395,2020-02-13,16,1,1,0,50000,7.4,4.9,9.2,0.0,3.5,230.0,89.0,12
411,2020-02-14,16,1,1,0,50000,8.9,3.8,16.2,0.0,3.0,340.0,76.6,12
427,2020-02-15,16,1,1,0,50000,10.6,4.6,18.7,0.0,4.4,110.0,65.8,12
443,2020-02-16,16,1,1,0,50000,0.9,-1.8,5.8,0.0,7.1,270.0,84.5,12
459,2020-02-17,16,1,1,0,50000,-3.0,-4.6,-1.3,0.0,5.8,290.0,84.5,12
475,2020-02-18,16,1,1,0,50000,-1.3,-5.3,3.3,0.0,3.3,230.0,61.4,12
491,2020-02-19,16,1,1,0,50000,2.9,-3.9,9.8,0.0,3.2,140.0,67.8,12
507,2020-02-20,16,1,1,0,50000,5.9,-0.1,12.5,0.0,2.7,140.0,69.9,12
523,2020-02-21,16,2,1,0,50000,9.2,2.0,16.8,0.0,3.9,140.0,63.8,12
539,2020-02-22,16,3,1,0,50000,6.1,2.3,10.6,0.0,6.3,270.0,65.1,12
555,2020-02-23,16,3,1,0,50000,3.7,-1.2,9.0,0.0,3.2,270.0,53.0,12
571,2020-02-24,16,3,1,0,50000,8.8,-0.2,16.1,0.0,2.5,140.0,49.6,12
587,2020-02-25,16,3,1,0,50000,8.5,7.9,10.4,0.0,3.8,290.0,94.9,12
603,2020-02-26,16,3,1,0,50000,8.1,3.7,14.0,0.0,5.7,230.0,75.5,12
619,2020-02-27,16,5,1,0,50000,6.5,1.5,12.3,0.0,3.1,230.0,70.0,12
635,2020-02-28,16,5,1,0,50000,6.0,4.8,7.4,0.0,3.3,140.0,78.9,12
