,date,time,confirmed,released,deceased,code,avg_temp,min_temp,max_temp,precipitation,max_wind_speed,most_wind_direction,avg_relative_humidity,province,target
1,2020-01-21,16,1,0,0,14000,-0.3,-4.0,3.4,0.0,4.3,20.0,49.9,10,1
2,2020-01-22,16,0,0,0,14000,3.0,0.0,7.2,0.0,5.3,20.0,53.4,10,0
3,2020-01-23,16,0,0,0,14000,4.1,1.1,8.2,0.0,6.3,340.0,60.6,10,0
4,2020-01-24,16,0,0,0,14000,2.3,-0.1,5.0,0.0,5.4,20.0,65.4,10,0
5,2020-01-25,16,0,0,0,14000,2.9,-0.2,6.8,0.0,4.1,20.0,66.9,10,0
6,2020-01-26,16,0,0,0,14000,5.4,-0.2,10.3,0.0,8.1,90.0,55.3,10,0
7,2020-01-27,16,0,0,0,14000,5.9,4.0,7.8,0.0,8.1,70.0,56.1,10,0
8,2020-01-28,16,0,0,0,14000,7.2,4.1,10.4,0.0,6.1,50.0,55.5,10,0
9,2020-01-29,16,0,0,0,14000,5.5,3.0,8.9,0.0,4.8,20.0,61.0,10,0
10,2020-01-30,16,0,0,0,14000,4.9,2.4,9.0,0.0,5.0,340.0,59.9,10,0
11,2020-01-31,16,0,0,0,14000,3.4,1.7,6.5,0.0,5.0,270.0,73.5,10,0
12,2020-02-01,16,0,0,0,14000,3.0,-0.2,7.3,0.0,4.9,340.0,67.3,10,0
13,2020-02-02,16,0,0,0,14000,1.4,-1.3,4.3,0.0,5.7,360.0,55.0,10,0
14,2020-02-03,16,0,0,0,14000,-0.3,-2.3,1.8,0.0,6.7,340.0,50.5,10,0
15,2020-02-04,16,0,0,0,14000,-1.3,-4.9,3.3,0.0,8.0,20.0,60.6,10,0
16,2020-02-05,16,0,0,0,14000,-8.1,-10.4,-4.9,0.0,8.5,360.0,43.6,10,0
17,2020-02-06,16,0,1,0,14000,-6.6,-10.6,-2.4,0.0,6.6,20.0,45.1,10,0
18,2020-02-07,16,0,0,0,14000,-1.4,-5.9,1.3,0.0,3.6,20.0,54.4,10,0
19,2020-02-08,16,0,0,0,14000,0.1,-2.1,2.9,0.0,6.9,340.0,53.9,10,0
20,2020-02-09,16,0,0,0,14000,0.4,-4.0,3.8,0.0,4.8,250.0,58.3,10,0
