,date,time,confirmed,released,deceased,code,avg_temp,min_temp,max_temp,precipitation,max_wind_speed,most_wind_direction,avg_relative_humidity,province,target
1,2020-01-21,16,0,0,0,41000,-0.7,-6.9,5.7,0.0,2.4,50.0,56.1,2,0
2,2020-01-22,16,0,0,0,41000,1.8,-0.9,4.1,0.0,2.9,50.0,71.6,2,0
3,2020-01-23,16,0,0,0,41000,4.2,0.8,9.9,0.0,4.1,20.0,68.1,2,0
4,2020-01-24,16,0,0,0,41000,2.4,-1.3,7.6,0.0,3.7,50.0,74.0,2,0
5,2020-01-25,16,0,0,0,41000,2.9,-0.8,8.1,0.0,2.5,20.0,78.9,2,0
6,2020-01-26,16,0,0,0,41000,5.8,-0.6,11.1,0.0,3.7,50.0,64.8,2,0
7,2020-01-27,16,0,0,0,41000,5.4,3.4,7.6,0.0,5.3,50.0,66.0,2,0
8,2020-01-28,16,0,0,0,41000,6.6,3.5,10.9,0.0,3.5,20.0,66.6,2,0
9,2020-01-29,16,0,0,0,41000,6.1,2.7,11.0,0.0,4.4,50.0,61.1,2,0
10,2020-01-30,16,0,0,0,41000,3.3,-2.0,10.6,0.0,4.4,20.0,75.5,2,0
11,2020-01-31,16,0,0,0,41000,0.6,-3.6,7.3,0.0,4.8,230.0,79.5,2,0
12,2020-02-01,16,0,0,0,41000,1.0,-5.0,9.4,0.0,4.3,180.0,80.8,2,0
13,2020-02-02,16,0,0,0,41000,0.4,-5.7,7.4,0.0,3.7,230.0,72.3,2,0
14,2020-02-03,16,0,0,0,41000,0.1,-6.0,3.7,0.0,6.2,320.0,60.4,2,0
15,2020-02-04,16,0,0,0,41000,-0.7,-8.0,5.4,0.0,5.2,230.0,69.5,2,0
16,2020-02-05,16,0,0,0,41000,-5.5,-7.1,-1.7,0.0,5.8,340.0,49.6,2,0
17,2020-02-06,16,0,0,0,41000,-5.8,-10.3,0.3,0.0,3.3,70.0,49.6,2,0
18,2020-02-07,16,0,0,0,41000,-1.3,-9.0,3.5,0.0,3.9,180.0,67.0,2,0
19,2020-02-08,16,0,0,0,41000,0.9,-1.8,4.4,0.0,6.4,320.0,58.8,2,0
20,2020-02-09,16,0,0,0,41000,-1.1,-7.8,6.2,0.0,4.2,230.0,67.6,2,0
21,2020-02-10,16,0,0,0,41000,3.2,-2.7,11.8,0.0,3.6,70.0,62.3,2,0
22,2020-02-11,16,0,0,0,41000,4.9,-3.8,13.8,0.0,5.3,50.0,50.0,2,0
23,2020-02-12,16,0,0,0,41000,6.6,5.2,7.8,0.0,3.8,70.0,90.9,2,0
24,2020-02-13,16,0,0,0,41000,6.5,4.2,11.3,0.0,3.1,200.0,89.4,2,0
25,2020-02-14,16,0,0,0,41000,7.7,3.9,15.4,0.0,3.1,20.0,79.5,2,0
26,2020-02-15,16,0,0,0,41000,7.7,1.4,16.4,0.0,4.7,320.0,77.0,2,0
27,2020-02-16,16,0,0,0,41000,-0.5,-3.1,3.5,0.0,7.4,270.0,82.6,2,0
28,2020-02-17,16,0,0,0,41000,-3.7,-4.9,-1.5,0.0,7.8,320.0,72.3,2,0
29,2020-02-18,16,0,0,0,41000,-2.2,-7.0,3.6,0.0,3.9,320.0,60.6,2,0
30,2020-02-19,16,0,0,0,41000,1.4,-5.1,8.5,0.0,3.1,200.0,76.4,2,0
31,2020-02-20,16,0,0,0,41000,4.3,-1.4,11.8,0.0,3.1,50.0,80.8,2,0
32,2020-02-21,16,1,0,0,41000,6.2,-0.4,13.2,0.0,5.5,180.0,79.0,2,1
33,2020-02-22,16,0,0,0,41000,5.0,2.1,9.5,0.0,8.7,270.0,62.0,2,0
34,2020-02-23,16,0,0,0,41000,2.0,-4.1,8.1,0.0,4.2,180.0,62.6,2,0
35,2020-02-24,16,0,0,0,41000,6.1,-2.5,13.4,0.0,4.3,180.0,73.3,2,0
36,2020-02-25,16,1,0,0,41000,6.6,5.1,7.9,0.0,5.1,50.0,90.1,2,1
37,2020-02-26,16,1,0,0,41000,5.4,0.4,11.6,0.0,5.8,20.0,74.5,2,1
38,2020-02-27,16,9,0,0,41000,5.2,-0.1,12.1,0.0,4.6,20.0,72.5,2,1
39,2020-02-28,16,23,0,0,41000,4.7,1.5,7.8,0.0,3.3,20.0,93.1,2,2
40,2020-02-29,16,20,0,0,41000,6.7,2.5,11.9,0.0,3.9,20.0,81.9,2,2
41,2020-03-01,16,13,0,0,41000,4.7,-0.1,7.6,0.0,5.7,230.0,81.5,2,2
42,2020-03-02,0,10,0,0,41000,3.4,-0.1,6.8,0.0,5.7,320.0,60.8,2,2
43,2020-03-03,0,3,0,0,41000,4.2,-1.0,11.2,0.0,4.8,200.0,74.0,2,1
44,2020-03-04,0,1,0,0,41000,2.8,0.6,6.3,0.0,9.0,290.0,60.9,2,1
45,2020-03-05,0,4,0,0,41000,1.2,-3.7,6.3,0.0,4.8,320.0,55.5,2,1
46,2020-03-06,0,4,0,0,41000,2.3,-5.5,10.4,0.0,3.1,50.0,63.3,2,1
47,2020-03-07,0,2,0,0,41000,4.5,-1.9,12.3,0.0,3.3,50.0,60.9,2,1
48,2020-03-08,0,6,0,0,41000,6.9,-2.0,17.8,0.0,5.2,50.0,58.9,2,1
