,date,time,confirmed,released,deceased,code,avg_temp,min_temp,max_temp,precipitation,max_wind_speed,most_wind_direction,avg_relative_humidity,province
1,2020-01-21,16,0,0,0,10000,-0.4,-5.6,5.5,0.0,3.5,320.0,36.9,14
2,2020-01-22,16,0,0,0,10000,3.0,-0.1,7.8,0.0,3.2,50.0,36.0,14
3,2020-01-23,16,0,0,0,10000,4.6,0.0,9.9,0.0,4.7,290.0,49.3,14
4,2020-01-24,16,0,0,0,10000,2.8,-1.3,7.4,0.0,3.7,290.0,63.0,14
5,2020-01-25,16,0,0,0,10000,4.3,0.6,8.8,0.0,3.9,290.0,63.1,14
6,2020-01-26,16,0,0,0,10000,5.5,-0.2,11.9,0.0,6.1,70.0,56.3,14
7,2020-01-27,16,1,0,0,10000,5.9,4.8,7.5,0.0,7.0,70.0,48.1,14
8,2020-01-28,16,0,0,0,10000,6.8,4.3,9.9,0.0,5.4,50.0,49.4,14
9,2020-01-29,16,0,0,0,10000,6.0,3.2,9.6,0.0,3.6,70.0,46.4,14
10,2020-01-30,16,2,0,0,10000,5.2,1.4,10.4,0.0,3.0,70.0,47.0,14
11,2020-01-31,16,1,0,0,10000,3.9,1.4,8.9,0.0,4.4,270.0,59.6,14
12,2020-02-01,16,0,0,0,10000,2.6,-1.2,7.6,0.0,4.7,290.0,66.6,14
13,2020-02-02,16,1,0,0,10000,1.5,-2.1,5.3,0.0,4.7,290.0,52.3,14
14,2020-02-03,16,0,0,0,10000,-0.4,-2.9,3.0,0.0,5.7,270.0,43.6,14
15,2020-02-04,16,0,0,0,10000,-1.6,-6.0,3.9,0.0,6.2,320.0,50.3,14
16,2020-02-05,16,0,1,0,10000,-8.3,-11.0,-4.9,0.0,5.5,320.0,37.3,14
17,2020-02-06,16,5,0,0,10000,-6.4,-11.8,0.4,0.0,4.0,290.0,36.4,14
18,2020-02-07,16,1,0,0,10000,-1.7,-7.2,2.2,0.0,3.5,290.0,45.1,14
19,2020-02-08,16,0,0,0,10000,-0.1,-2.3,3.7,0.0,5.3,320.0,48.1,14
20,2020-02-09,16,3,0,0,10000,-0.5,-5.6,4.1,0.0,4.4,270.0,51.1,14
21,2020-02-10,16,0,0,0,10000,4.0,-0.7,9.6,0.0,4.2,290.0,49.4,14
22,2020-02-11,16,0,1,0,10000,6.8,-0.5,14.6,0.0,3.6,50.0,37.0,14
23,2020-02-12,16,0,0,0,10000,7.4,6.5,8.2,0.0,5.0,70.0,73.4,14
24,2020-02-13,16,0,0,0,10000,6.5,4.9,8.7,0.0,3.2,290.0,84.8,14
25,2020-02-14,16,0,0,0,10000,8.1,3.2,14.7,0.0,3.0,290.0,70.3,14
26,2020-02-15,16,0,0,0,10000,9.8,6.2,15.6,0.0,5.0,70.0,63.0,14
27,2020-02-16,16,0,1,0,10000,-1.4,-4.3,7.7,0.0,6.6,270.0,81.1,14
28,2020-02-17,16,0,0,0,10000,-5.9,-7.1,-3.9,0.0,5.6,320.0,64.3,14
29,2020-02-18,16,0,0,0,10000,-4.1,-8.3,1.3,0.0,4.1,290.0,44.0,14
30,2020-02-19,16,6,0,0,10000,1.0,-4.4,6.4,0.0,3.2,50.0,56.8,14
31,2020-02-20,16,2,2,0,10000,4.6,-0.6,10.8,0.0,3.3,50.0,62.6,14
32,2020-02-21,16,5,0,0,10000,6.7,2.1,10.9,0.0,5.3,200.0,66.3,14
33,2020-02-22,16,3,1,0,10000,4.0,0.0,7.9,0.0,8.2,270.0,62.0,14
34,2020-02-23,16,1,0,0,10000,2.5,-2.5,8.0,0.0,4.2,270.0,48.6,14
35,2020-02-24,16,4,0,0,10000,7.0,0.8,12.2,0.0,3.4,50.0,51.8,14
36,2020-02-25,16,6,2,0,10000,6.7,4.7,9.4,0.0,6.8,70.0,73.5,14
37,2020-02-26,16,8,0,0,10000,6.4,2.8,10.4,0.0,4.0,50.0,59.6,14
38,2020-02-27,16,7,0,0,10000,6.1,1.3,12.5,0.0,4.4,70.0,54.0,14
39,2020-02-28,16,6,1,0,10000,4.5,3.6,5.9,0.0,4.2,50.0,79.4,14
40,2020-02-29,16,15,0,0,10000,7.7,4.5,13.0,0.0,4.2,50.0,68.6,14
41,2020-03-01,16,10,2,0,10000,5.8,3.2,10.1,0.0,4.7,270.0,71.8,14
42,2020-03-02,0,4,1,0,10000,3.4,0.0,7.6,0.0,4.9,290.0,55.3,14
43,2020-03-03,0,7,1,0,10000,4.8,0.3,10.5,0.0,4.7,70.0,57.0,14
44,2020-03-04,0,1,6,0,10000,2.2,-1.3,4.6,0.0,6.8,270.0,53.4,14
45,2020-03-05,0,4,6,0,10000,1.4,-2.8,6.3,0.0,4.1,270.0,47.5,14
46,2020-03-06,0,2,0,0,10000,3.7,-2.5,10.1,0.0,3.6,50.0,46.8,14
47,2020-03-07,0,3,2,0,10000,7.0,1.3,14.2,0.0,4.1,70.0,39.5,14
48,2020-03-08,0,12,1,0,10000,9.3,2.3,16.9,0.0,4.6,290.0,43.8,14
49,2020-03-09,0,10,1,0,10000,11.1,4.8,17.6,0.0,4.5,320.0,37.6,14
50,2020-03-10,0,11,2,0,10000,6.4,3.2,10.8,0.0,5.3,290.0,78.4,14
51,2020-03-11,0,52,6,0,10000,3.8,0.0,8.3,0.0,5.5,270.0,41.8,14
52,2020-03-12,0,19,1,0,10000,6.8,0.2,13.3,0.0,5.4,250.0,49.8,14
53,2020-03-13,0,13,2,0,10000,4.9,-0.1,8.7,0.0,5.4,320.0,41.0,14
54,2020-03-14,0,13,4,0,10000,3.6,-2.7,8.6,0.0,6.8,250.0,48.1,14
55,2020-03-15,0,9,3,0,10000,4.0,0.2,8.5,0.0,7.8,320.0,48.3,14
56,2020-03-16,0,6,5,0,10000,3.6,-2.1,9.1,0.0,5.2,250.0,42.4,14
57,2020-03-17,0,12,3,0,10000,6.6,3.1,12.3,0.0,5.2,230.0,65.8,14
58,2020-03-18,0,5,0,0,10000,10.0,2.7,17.0,0.0,4.4,250.0,45.8,14
59,2020-03-19,0,12,3,0,10000,9.1,5.8,12.1,0.0,8.2,270.0,49.0,14
60,2020-03-20,0,17,6,0,10000,8.8,3.1,14.0,0.0,6.6,200.0,39.6,14
61,2020-03-21,0,15,0,0,10000,12.8,7.9,19.5,0.0,5.1,180.0,56.5,14
62,2020-03-22,0,10,0,0,10000,11.0,6.1,16.5,0.0,5.6,290.0,37.5,14
63,2020-03-23,0,6,0,0,10000,10.6,5.4,17.0,0.0,4.8,270.0,37.9,14
64,2020-03-24,0,4,8,0,10000,11.4,5.3,17.9,0.0,4.0,270.0,35.0,14
65,2020-03-25,0,13,0,0,10000,12.5,6.1,19.2,0.0,5.3,290.0,33.6,14
66,2020-03-26,0,13,8,0,10000,14.8,8.1,20.6,0.0,5.3,70.0,53.8,14
67,2020-03-27,0,12,9,0,10000,11.9,6.7,15.8,0.0,5.8,290.0,56.4,14
68,2020-03-28,0,18,4,0,10000,7.7,4.5,12.8,0.0,5.5,360.0,17.9,14
69,2020-03-29,0,20,0,0,10000,8.7,1.3,16.1,0.0,4.6,290.0,30.6,14
70,2020-03-30,0,16,-1,0,10000,10.2,4.3,16.9,0.0,4.1,270.0,38.4,14
71,2020-03-31,0,24,15,0,10000,11.9,4.7,18.6,0.0,4.4,270.0,34.5,14
72,2020-04-01,0,24,10,0,10000,11.3,6.0,17.4,0.0,7.3,290.0,35.6,14
73,2020-04-02,0,14,10,0,10000,9.3,3.4,15.5,0.0,5.5,250.0,41.4,14
74,2020-04-03,0,18,4,0,10000,10.0,5.3,16.3,0.0,5.7,270.0,53.8,14
75,2020-04-04,0,22,13,0,10000,8.9,5.0,13.3,0.0,6.3,290.0,36.4,14
76,2020-04-05,0,24,1,0,10000,7.2,1.9,13.7,0.0,5.4,270.0,29.5,14
77,2020-04-06,0,11,6,0,10000,9.3,2.9,16.1,0.0,5.9,290.0,38.3,14
78,2020-04-07,0,4,13,0,10000,10.6,6.0,16.8,0.0,5.1,270.0,56.6,14
