,date,time,confirmed,released,deceased,code,avg_temp,min_temp,max_temp,precipitation,max_wind_speed,most_wind_direction,avg_relative_humidity,province,target
1,2020-01-21,16,0,0,0,20000,-0.7,-5.9,5.4,0.0,2.7,140.0,61.4,7,0
2,2020-01-22,16,0,0,0,20000,2.1,-1.3,5.1,0.0,4.3,110.0,72.4,7,0
3,2020-01-23,16,0,0,0,20000,4.1,-1.4,10.7,0.0,4.6,290.0,71.6,7,0
4,2020-01-24,16,1,0,0,20000,2.4,-2.2,9.2,0.0,3.4,250.0,85.0,7,1
5,2020-01-25,16,0,0,0,20000,2.8,-2.2,9.1,0.0,2.5,320.0,90.8,7,0
6,2020-01-26,16,1,0,0,20000,5.3,-2.7,11.9,0.0,5.2,90.0,74.3,7,1
7,2020-01-27,16,0,0,0,20000,5.9,3.5,8.1,0.0,5.0,70.0,71.5,7,0
8,2020-01-28,16,0,0,0,20000,7.4,3.9,11.0,0.0,3.4,50.0,70.4,7,0
9,2020-01-29,16,0,0,0,20000,6.2,1.0,11.4,0.0,3.3,50.0,68.0,7,0
10,2020-01-30,16,1,0,0,20000,5.3,0.7,10.5,0.0,4.0,290.0,71.6,7,1
11,2020-01-31,16,2,0,0,20000,2.9,-0.5,7.5,0.0,4.2,270.0,89.5,7,1
12,2020-02-01,16,1,0,0,20000,1.9,-2.2,7.7,0.0,4.7,140.0,91.3,7,1
13,2020-02-02,16,2,0,0,20000,1.0,-3.5,5.8,0.0,3.4,250.0,79.8,7,1
14,2020-02-03,16,0,0,0,20000,-0.1,-2.9,3.0,0.0,5.7,270.0,70.8,7,0
15,2020-02-04,16,0,0,0,20000,-1.0,-7.0,5.1,0.0,5.2,250.0,82.0,7,0
16,2020-02-05,16,2,0,0,20000,-7.2,-9.9,-2.4,0.0,6.2,320.0,58.9,7,1
17,2020-02-06,16,0,0,0,20000,-6.3,-11.9,0.2,0.0,3.3,270.0,63.6,7,0
18,2020-02-07,16,0,0,0,20000,-1.5,-7.9,2.8,0.0,4.3,250.0,72.8,7,0
19,2020-02-08,16,0,0,0,20000,0.4,-2.2,4.6,0.0,5.7,320.0,67.6,7,0
20,2020-02-09,16,0,1,0,20000,-0.9,-7.0,3.9,0.0,5.3,290.0,76.1,7,0
21,2020-02-10,16,0,0,0,20000,3.2,-1.9,10.5,0.0,4.5,250.0,72.5,7,0
22,2020-02-11,16,2,2,0,20000,5.9,-2.9,14.5,0.0,3.0,140.0,64.0,7,1
23,2020-02-12,16,0,0,0,20000,7.3,5.3,8.4,0.0,3.6,90.0,90.4,7,0
24,2020-02-13,16,0,2,0,20000,5.9,3.6,7.6,0.0,2.6,320.0,98.9,7,0
25,2020-02-14,16,0,0,0,20000,6.5,2.0,13.3,0.0,2.9,270.0,93.8,7,0
26,2020-02-15,16,0,0,0,20000,8.7,3.0,15.3,0.0,4.8,90.0,85.1,7,0
27,2020-02-16,16,0,0,0,20000,-1.1,-3.7,5.0,0.0,6.8,270.0,97.8,7,0
28,2020-02-17,16,0,0,0,20000,-4.8,-6.6,-3.1,0.0,6.3,290.0,84.3,7,0
29,2020-02-18,16,0,0,0,20000,-3.6,-7.9,1.5,0.0,4.2,320.0,68.9,7,0
30,2020-02-19,16,0,2,0,20000,1.1,-4.7,6.3,0.0,2.7,90.0,80.0,7,0
31,2020-02-20,16,0,0,0,20000,4.4,-0.5,11.6,0.0,3.4,290.0,85.6,7,0
32,2020-02-21,16,2,0,0,20000,6.5,0.4,11.9,0.0,4.9,160.0,88.5,7,1
33,2020-02-22,16,6,0,0,20000,4.4,0.4,8.0,0.0,8.4,270.0,82.8,7,1
34,2020-02-23,16,4,0,0,20000,2.2,-3.5,7.8,0.0,4.2,290.0,76.5,7,1
35,2020-02-24,16,11,0,0,20000,7.0,-0.7,13.7,0.0,2.9,140.0,70.6,7,2
36,2020-02-25,16,7,1,0,20000,6.8,5.6,8.3,0.0,4.9,70.0,92.8,7,1
37,2020-02-26,16,9,0,1,20000,5.6,1.1,11.4,0.0,4.9,290.0,87.5,7,1
38,2020-02-27,16,11,0,0,20000,5.5,0.2,11.6,0.0,3.1,250.0,80.4,7,2
39,2020-02-28,16,10,0,0,20000,4.6,2.9,5.7,0.0,2.2,110.0,95.0,7,1
40,2020-02-29,16,10,0,0,20000,7.0,3.3,13.0,0.0,3.7,270.0,91.8,7,1
41,2020-03-01,16,7,0,0,20000,4.8,0.4,10.2,0.0,4.3,270.0,95.1,7,1
42,2020-03-02,0,3,0,0,20000,3.1,0.6,6.8,0.0,5.9,290.0,76.5,7,1
43,2020-03-03,0,2,0,0,20000,4.6,-0.9,10.8,0.0,4.6,270.0,83.3,7,1
44,2020-03-04,0,7,1,0,20000,2.5,-0.9,5.3,0.0,7.3,270.0,76.8,7,1
45,2020-03-05,0,9,1,0,20000,1.1,-2.3,5.6,0.0,4.5,270.0,71.4,7,1
46,2020-03-06,0,10,4,0,20000,3.1,-3.8,10.4,0.0,3.5,110.0,69.6,7,1
47,2020-03-07,0,10,0,0,20000,5.3,-0.8,12.9,0.0,3.5,110.0,73.1,7,1
48,2020-03-08,0,11,2,0,20000,7.4,-1.1,17.1,0.0,3.7,160.0,73.6,7,2
49,2020-03-09,0,12,6,0,20000,9.5,1.2,16.6,0.0,3.1,290.0,72.4,7,2
