,date,time,confirmed,released,deceased,code,avg_temp,min_temp,max_temp,precipitation,max_wind_speed,most_wind_direction,avg_relative_humidity,province
1,2020-01-21,16,0,0,0,70000,7.4,4.9,10.5,0.0,4.5,20.0,57.8,11
2,2020-01-22,16,0,0,0,70000,11.4,8.6,13.5,0.0,2.8,200.0,85.1,11
3,2020-01-23,16,0,0,0,70000,11.2,10.5,13.6,0.0,4.9,320.0,87.3,11
4,2020-01-24,16,0,0,0,70000,11.3,9.5,12.7,0.0,4.5,20.0,64.5,11
5,2020-01-25,16,0,0,0,70000,11.9,10.6,14.0,0.0,6.3,70.0,77.9,11
6,2020-01-26,16,0,0,0,70000,11.6,10.6,13.0,0.0,7.1,70.0,74.0,11
7,2020-01-27,16,0,0,0,70000,9.8,8.1,11.5,0.0,11.3,20.0,84.1,11
8,2020-01-28,16,0,0,0,70000,9.9,9.1,11.1,0.0,5.5,290.0,73.4,11
9,2020-01-29,16,0,0,0,70000,9.6,8.5,11.3,0.0,6.6,290.0,67.8,11
10,2020-01-30,16,0,0,0,70000,8.3,7.5,10.2,0.0,9.1,320.0,61.8,11
11,2020-01-31,16,0,0,0,70000,7.2,5.9,8.0,0.0,6.4,290.0,56.9,11
12,2020-02-01,16,0,0,0,70000,8.2,4.5,10.9,0.0,4.1,290.0,60.3,11
13,2020-02-02,16,0,0,0,70000,7.7,6.0,10.7,0.0,4.2,290.0,61.8,11
14,2020-02-03,16,0,0,0,70000,6.9,5.1,9.3,0.0,5.9,340.0,65.0,11
15,2020-02-04,16,0,0,0,70000,5.6,2.6,8.2,0.0,3.4,180.0,60.3,11
16,2020-02-05,16,0,0,0,70000,3.4,1.2,7.7,0.0,8.7,340.0,63.6,11
17,2020-02-06,16,0,0,0,70000,3.3,0.8,5.4,0.0,4.7,20.0,53.8,11
18,2020-02-07,16,0,0,0,70000,6.4,4.8,8.9,0.0,5.1,360.0,60.5,11
19,2020-02-08,16,0,0,0,70000,6.9,4.7,9.0,0.0,7.4,340.0,58.8,11
20,2020-02-09,16,0,0,0,70000,6.6,4.9,8.9,0.0,6.7,290.0,57.4,11
21,2020-02-10,16,0,0,0,70000,10.6,6.1,14.1,0.0,6.4,270.0,66.4,11
22,2020-02-11,16,0,0,0,70000,11.2,6.7,15.1,0.0,3.1,160.0,57.9,11
23,2020-02-12,16,0,0,0,70000,13.3,11.1,16.7,0.0,6.5,250.0,83.5,11
24,2020-02-13,16,0,0,0,70000,12.3,11.1,14.9,0.0,4.9,250.0,74.6,11
25,2020-02-14,16,0,0,0,70000,13.6,11.1,16.4,0.0,3.8,20.0,75.8,11
26,2020-02-15,16,0,0,0,70000,16.2,12.2,21.6,0.0,6.6,90.0,75.8,11
27,2020-02-16,16,0,0,0,70000,5.4,3.0,12.5,0.0,10.2,290.0,74.4,11
28,2020-02-17,16,0,0,0,70000,2.6,0.8,4.2,0.0,12.9,320.0,71.6,11
29,2020-02-18,16,0,0,0,70000,4.9,0.5,7.8,0.0,11.2,320.0,57.9,11
30,2020-02-19,16,0,0,0,70000,6.6,2.2,10.7,0.0,3.4,160.0,58.6,11
31,2020-02-20,16,0,0,0,70000,10.0,6.7,13.2,0.0,4.9,180.0,59.5,11
32,2020-02-21,16,1,0,0,70000,12.4,6.4,16.9,0.0,5.8,160.0,56.9,11
33,2020-02-22,16,0,0,0,70000,10.8,7.6,14.3,0.0,7.8,320.0,58.3,11
34,2020-02-23,16,1,0,0,70000,7.8,5.9,11.1,0.0,5.6,320.0,55.9,11
35,2020-02-24,16,0,0,0,70000,11.5,5.4,15.8,0.0,3.8,160.0,52.1,11
36,2020-02-25,16,0,0,0,70000,16.6,11.5,21.8,0.0,9.9,200.0,79.8,11
37,2020-02-26,16,0,0,0,70000,11.4,8.4,12.7,0.0,4.7,320.0,82.0,11
38,2020-02-27,16,0,0,0,70000,10.0,6.8,13.4,0.0,6.0,50.0,63.8,11
39,2020-02-28,16,0,0,0,70000,10.4,8.7,11.6,0.0,5.7,110.0,75.4,11
40,2020-02-29,16,0,0,0,70000,11.6,10.9,12.2,0.0,4.2,70.0,94.0,11
41,2020-03-01,16,0,0,0,70000,11.2,8.1,12.7,0.0,7.0,70.0,86.1,11
42,2020-03-02,0,0,0,0,70000,8.0,6.0,10.4,0.0,6.0,340.0,61.9,11
43,2020-03-03,0,1,0,0,70000,10.7,6.2,15.0,0.0,5.6,160.0,70.3,11
44,2020-03-04,0,0,0,0,70000,8.0,5.2,10.6,0.0,9.6,320.0,58.6,11
45,2020-03-05,0,1,0,0,70000,6.1,4.0,9.6,0.0,9.3,320.0,55.3,11
46,2020-03-06,0,0,0,0,70000,7.4,2.5,11.9,0.0,3.3,180.0,65.3,11
47,2020-03-07,0,0,0,0,70000,10.3,8.0,11.0,0.0,5.8,20.0,84.3,11
48,2020-03-08,0,0,0,0,70000,12.0,7.3,15.4,0.0,6.9,50.0,70.6,11
49,2020-03-09,0,0,1,0,70000,13.1,11.3,14.6,0.0,6.0,70.0,80.9,11
50,2020-03-10,0,0,0,0,70000,9.6,7.7,13.4,0.0,10.4,320.0,79.9,11
51,2020-03-11,0,0,0,0,70000,8.4,5.5,11.1,0.0,8.7,320.0,49.1,11
52,2020-03-12,0,0,0,0,70000,9.4,3.8,13.7,0.0,3.2,160.0,58.9,11
53,2020-03-13,0,0,0,0,70000,11.2,8.2,14.5,0.0,5.7,320.0,56.8,11
54,2020-03-14,0,0,0,0,70000,8.4,5.9,10.6,0.0,7.0,320.0,48.6,11
55,2020-03-15,0,0,0,0,70000,11.1,6.8,15.3,0.0,9.8,290.0,50.8,11
56,2020-03-16,0,0,1,0,70000,7.3,4.6,10.6,0.0,8.6,360.0,53.5,11
57,2020-03-17,0,0,0,0,70000,13.0,6.2,19.8,0.0,6.7,270.0,51.8,11
58,2020-03-18,0,0,0,0,70000,14.0,10.1,16.7,0.0,4.2,20.0,69.9,11
59,2020-03-19,0,0,0,0,70000,13.9,9.9,21.2,0.0,9.6,290.0,46.3,11
